t	s	i
9.37	0.818298	0.0182981
9.38	0.818267	0.0182674
9.39	0.818237	0.0182366
9.4	0.818206	0.018206
9.41	0.818175	0.0181753
9.42	0.818145	0.0181448
9.43	0.818114	0.0181143
9.44	0.818084	0.0180838
9.45	0.818053	0.0180534
9.46	0.818023	0.018023
9.47	0.817993	0.0179927
9.48	0.817962	0.0179625
9.49	0.817932	0.0179323
9.5	0.817902	0.0179022
9.51	0.817872	0.0178721
9.52	0.817842	0.017842
9.53	0.817812	0.0178121
9.54	0.817782	0.0177821
9.55	0.817752	0.0177523
9.56	0.817722	0.0177224
9.57	0.817693	0.0176927
9.58	0.817663	0.017663
9.59	0.817633	0.0176333
9.6	0.817604	0.0176037
9.61	0.817574	0.0175741
9.62	0.817545	0.0175446
9.63	0.817515	0.0175152
9.64	0.817486	0.0174857
9.65	0.817456	0.0174564
9.66	0.817427	0.0174271
9.67	0.817398	0.0173978
9.68	0.817369	0.0173686
9.69	0.817339	0.0173395
9.7	0.81731	0.0173104
9.71	0.817281	0.0172814
9.72	0.817252	0.0172524
9.73	0.817223	0.0172234
9.74	0.817195	0.0171945
9.75	0.817166	0.0171657
9.76	0.817137	0.0171369
9.77	0.817108	0.0171082
9.78	0.817079	0.0170795
9.79	0.817051	0.0170508
9.8	0.817022	0.0170222
9.81	0.816994	0.0169937
9.82	0.816965	0.0169652
9.83	0.816937	0.0169368
9.84	0.816908	0.0169084
9.85	0.81688	0.01688
9.86	0.816852	0.0168517
9.87	0.816824	0.0168235
9.88	0.816795	0.0167953
9.89	0.816767	0.0167672
9.9	0.816739	0.0167391
9.91	0.816711	0.016711
9.92	0.816683	0.016683
9.93	0.816655	0.0166551
9.94	0.816627	0.0166272
9.95	0.816599	0.0165994
9.96	0.816572	0.0165716
9.97	0.816544	0.0165438
9.98	0.816516	0.0165161
9.99	0.816488	0.0164884
10	0.816461	0.0164608
