t	s	i
1.87	0.869085	0.0690855
1.88	0.868953	0.0689535
1.89	0.868822	0.0688217
1.9	0.86869	0.0686903
1.91	0.868559	0.0685592
1.92	0.868428	0.0684283
1.93	0.868298	0.0682978
1.94	0.868167	0.0681675
1.95	0.868038	0.0680375
1.96	0.867908	0.0679078
1.97	0.867778	0.0677784
1.98	0.867649	0.0676493
1.99	0.86752	0.0675205
2	0.867392	0.0673919
2.01	0.867264	0.0672637
2.02	0.867136	0.0671357
2.03	0.867008	0.067008
2.04	0.866881	0.0668806
2.05	0.866753	0.0667534
2.06	0.866627	0.0666266
2.07	0.8665	0.0665
2.08	0.866374	0.0663737
2.09	0.866248	0.0662477
2.1	0.866122	0.0661219
2.11	0.865996	0.0659965
2.12	0.865871	0.0658713
2.13	0.865746	0.0657463
2.14	0.865622	0.0656217
2.15	0.865497	0.0654973
2.16	0.865373	0.0653732
2.17	0.865249	0.0652494
2.18	0.865126	0.0651258
2.19	0.865003	0.0650025
2.2	0.86488	0.0648795
2.21	0.864757	0.0647568
2.22	0.864634	0.0646343
2.23	0.864512	0.0645121
2.24	0.86439	0.0643901
2.25	0.864268	0.0642685
2.26	0.864147	0.064147
2.27	0.864026	0.0640259
2.28	0.863905	0.063905
2.29	0.863784	0.0637844
2.3	0.863664	0.063664
2.31	0.863544	0.0635439
2.32	0.863424	0.0634241
2.33	0.863304	0.0633045
2.34	0.863185	0.0631852
2.35	0.863066	0.0630661
2.36	0.862947	0.0629473
2.37	0.862829	0.0628288
2.38	0.86271	0.0627105
2.39	0.862592	0.0625924
2.4	0.862475	0.0624747
2.41	0.862357	0.0623571
2.42	0.86224	0.0622399
2.43	0.862123	0.0621228
2.44	0.862006	0.0620061
2.45	0.86189	0.0618896
2.46	0.861773	0.0617733
2.47	0.861657	0.0616573
2.48	0.861542	0.0615415
2.49	0.861426	0.061426
2.5	0.861311	0.0613108
2.51	0.861196	0.0611958
2.52	0.861081	0.061081
2.53	0.860966	0.0609665
2.54	0.860852	0.0608522
2.55	0.860738	0.0607382
2.56	0.860624	0.0606244
2.57	0.860511	0.0605109
2.58	0.860398	0.0603976
2.59	0.860285	0.0602845
2.6	0.860172	0.0601717
2.61	0.860059	0.0600591
2.62	0.859947	0.0599468
2.63	0.859835	0.0598347
2.64	0.859723	0.0597229
2.65	0.859611	0.0596113
2.66	0.8595	0.0594999
2.67	0.859389	0.0593888
2.68	0.859278	0.0592779
2.69	0.859167	0.0591672
2.7	0.859057	0.0590568
2.71	0.858947	0.0589466
2.72	0.858837	0.0588367
2.73	0.858727	0.0587269
2.74	0.858617	0.0586175
2.75	0.858508	0.0585082
2.76	0.858399	0.0583992
2.77	0.85829	0.0582904
2.78	0.858182	0.0581818
2.79	0.858074	0.0580735
2.8	0.857965	0.0579654
2.81	0.857858	0.0578576
2.82	0.85775	0.0577499
2.83	0.857643	0.0576425
2.84	0.857535	0.0575353
2.85	0.857428	0.0574284
2.86	0.857322	0.0573217
2.87	0.857215	0.0572152
2.88	0.857109	0.0571089
2.89	0.857003	0.0570028
2.9	0.856897	0.056897
2.91	0.856791	0.0567914
2.92	0.856686	0.056686
2.93	0.856581	0.0565809
2.94	0.856476	0.0564759
2.95	0.856371	0.0563712
2.96	0.856267	0.0562667
2.97	0.856162	0.0561625
2.98	0.856058	0.0560584
2.99	0.855955	0.0559546
3	0.855851	0.0558509
3.01	0.855748	0.0557475
3.02	0.855644	0.0556444
3.03	0.855541	0.0555414
3.04	0.855439	0.0554387
3.05	0.855336	0.0553361
3.06	0.855234	0.0552338
3.07	0.855132	0.0551317
3.08	0.85503	0.0550298
3.09	0.854928	0.0549281
3.1	0.854827	0.0548267
3.11	0.854725	0.0547254
3.12	0.854624	0.0546244
3.13	0.854524	0.0545236
3.14	0.854423	0.0544229
3.15	0.854323	0.0543225
3.16	0.854222	0.0542223
3.17	0.854122	0.0541224
3.18	0.854023	0.0540226
3.19	0.853923	0.053923
3.2	0.853824	0.0538237
3.21	0.853725	0.0537245
3.22	0.853626	0.0536256
3.23	0.853527	0.0535268
3.24	0.853428	0.0534283
3.25	0.85333	0.0533299
3.26	0.853232	0.0532318
3.27	0.853134	0.0531339
3.28	0.853036	0.0530362
3.29	0.852939	0.0529387
3.3	0.852841	0.0528413
3.31	0.852744	0.0527442
3.32	0.852647	0.0526473
3.33	0.852551	0.0525506
3.34	0.852454	0.0524541
3.35	0.852358	0.0523578
3.36	0.852262	0.0522617
3.37	0.852166	0.0521658
3.38	0.85207	0.0520701
3.39	0.851975	0.0519746
3.4	0.851879	0.0518792
3.41	0.851784	0.0517841
3.42	0.851689	0.0516892
3.43	0.851594	0.0515945
3.44	0.8515	0.0515
3.45	0.851406	0.0514056
3.46	0.851311	0.0513115
3.47	0.851218	0.0512175
3.48	0.851124	0.0511238
3.49	0.85103	0.0510302
3.5	0.850937	0.0509369
3.51	0.850844	0.0508437
3.52	0.850751	0.0507507
3.53	0.850658	0.0506579
3.54	0.850565	0.0505653
3.55	0.850473	0.0504729
3.56	0.850381	0.0503807
3.57	0.850289	0.0502886
3.58	0.850197	0.0501968
3.59	0.850105	0.0501051
3.6	0.850014	0.0500137
3.61	0.849922	0.0499224
3.62	0.849831	0.0498313
3.63	0.84974	0.0497404
3.64	0.84965	0.0496497
3.65	0.849559	0.0495592
3.66	0.849469	0.0494688
3.67	0.849379	0.0493786
3.68	0.849289	0.0492887
3.69	0.849199	0.0491989
3.7	0.849109	0.0491093
3.71	0.84902	0.0490198
3.72	0.848931	0.0489306
3.73	0.848842	0.0488415
3.74	0.848753	0.0487526
3.75	0.848664	0.0486639
3.76	0.848575	0.0485754
3.77	0.848487	0.0484871
3.78	0.848399	0.0483989
3.79	0.848311	0.0483109
3.8	0.848223	0.0482231
3.81	0.848136	0.0481355
3.82	0.848048	0.0480481
3.83	0.847961	0.0479608
3.84	0.847874	0.0478737
3.85	0.847787	0.0477868
3.86	0.8477	0.0477001
3.87	0.847614	0.0476135
3.88	0.847527	0.0475271
3.89	0.847441	0.0474409
3.9	0.847355	0.0473549
3.91	0.847269	0.047269
3.92	0.847183	0.0471834
3.93	0.847098	0.0470978
3.94	0.847013	0.0470125
3.95	0.846927	0.0469273
3.96	0.846842	0.0468423
3.97	0.846758	0.0467575
3.98	0.846673	0.0466729
3.99	0.846588	0.0465884
4	0.846504	0.0465041
4.01	0.84642	0.0464199
4.02	0.846336	0.046336
4.03	0.846252	0.0462522
4.04	0.846169	0.0461685
4.05	0.846085	0.0460851
4.06	0.846002	0.0460018
4.07	0.845919	0.0459187
4.08	0.845836	0.0458357
4.09	0.845753	0.0457529
4.1	0.84567	0.0456703
4.11	0.845588	0.0455878
4.12	0.845506	0.0455055
4.13	0.845423	0.0454234
4.14	0.845341	0.0453415
4.15	0.84526	0.0452597
4.16	0.845178	0.045178
4.17	0.845097	0.0450966
4.18	0.845015	0.0450152
4.19	0.844934	0.0449341
4.2	0.844853	0.0448531
4.21	0.844772	0.0447723
4.22	0.844692	0.0446916
4.23	0.844611	0.0446112
4.24	0.844531	0.0445308
4.25	0.844451	0.0444506
4.26	0.844371	0.0443706
4.27	0.844291	0.0442908
4.28	0.844211	0.0442111
4.29	0.844132	0.0441316
4.3	0.844052	0.0440522
4.31	0.843973	0.043973
4.32	0.843894	0.0438939
4.33	0.843815	0.043815
4.34	0.843736	0.0437363
4.35	0.843658	0.0436577
4.36	0.843579	0.0435793
4.37	0.843501	0.043501
4.38	0.843423	0.0434229
4.39	0.843345	0.0433449
4.4	0.843267	0.0432671
4.41	0.843189	0.0431894
4.42	0.843112	0.0431119
4.43	0.843035	0.0430346
4.44	0.842957	0.0429574
4.45	0.84288	0.0428804
4.46	0.842803	0.0428035
4.47	0.842727	0.0427268
4.48	0.84265	0.0426502
4.49	0.842574	0.0425738
4.5	0.842497	0.0424975
4.51	0.842421	0.0424214
